⚛️央视,#genre#
CCTV1综合,http://1.189.99.196/h5liveolpicga.miguvideo.com/wd_r2/cctv/cctv1hd/2500/index.m3u8?&encrypt=
CCTV1综合,https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv1_2/index.m3u8
CCTV1综合,http://cctvwbndali.v.myalicdn.com/cctvwbnd/cctv1_2/index.m3u8
CCTV1综合,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctv1hd8m/8000000/mnf.m3u8
CCTV1综合,http://223.109.33.33/1403-txt.otvstream.otvcloud.com/otv/skcc/live/channel1/index.m3u8
CCTV1综合,http://121.51.249.73/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225490/index.m3u8
CCTV1综合,http://hls.live.cqccn.com/__cl/cg:live/__c/cctv1HD/__op/default/__f/index.m3u8
CCTV1综合,http://media.hndyjyfw.gov.cn/live/jz-cctv-1/live.m3u8
CCTV1综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8
CCTV2财经,http://1.189.99.196/h5liveolpicga.miguvideo.com/wd_r2/cctv/cctv2hd/3000/index.m3u8?&encrypt=
CCTV2财经,http://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv2_2/index.m3u8
CCTV2财经,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctv2hd8m/8000000/mnf.m3u8
CCTV2财经,http://223.109.33.33/1403-txt.otvstream.otvcloud.com/otv/skcc/live/channel2/index.m3u8
CCTV2财经,http://121.51.249.73/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225612/index.m3u8
CCTV2财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV3综艺,http://1.189.99.196/h5liveolpicga.miguvideo.com/wd_r2/ocn/cctv3hd/3000/index.m3u8?&encrypt=
CCTV3综艺,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctv38m/8000000/mnf.m3u8
CCTV3综艺,http://223.109.33.33/1403-txt.otvstream.otvcloud.com/otv/skcc/live/channel3/index.m3u8
CCTV3综艺,http://121.51.249.73/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225611/index.m3u8
CCTV3综艺,http://media.hndyjyfw.gov.cn/live/jz-cctv-3/live.m3u8
CCTV3综艺,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV4中文国际,http://1.189.99.196/h5liveolpicga.miguvideo.com/wd_r2/cctv/cctv4hd/3000/index.m3u8?&encrypt=
CCTV4中文国际,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctv4hd8m/8000000/mnf.m3u8
CCTV4中文国际,http://223.109.33.33/1403-txt.otvstream.otvcloud.com/otv/skcc/live/channel4/index.m3u8
CCTV4中文国际,http://121.51.249.73/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225610/index.m3u8
CCTV4中文国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV4中文国际-欧洲,http://1.189.99.196/h5liveolpicga.miguvideo.com/migu/kailu/20200324/cctv4ouhd/57/index.m3u8?&encrypt=
CCTV4中文国际-美洲,http://1.189.99.196/h5liveolpicga.miguvideo.com/migu/kailu/20200324/cctv4meihd/57/index.m3u8?&encrypt=
CCTV5体育,http://1.189.99.196/h5liveolpicga.miguvideo.com/wd_r2/cctv/cctv5hdnew/2500/index.m3u8?&encrypt=
CCTV5体育,https://cctvwbndks.v.kcdnvip.com/cctvwbnd/cctv5_2/index.m3u8
CCTV5体育,http://cctv5wbndali.v.myalicdn.com/cctv5wbnd/cctv5_2/index.m3u8
CCTV5体育,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctv58m/8000000/mnf.m3u8
CCTV5体育,http://223.109.33.33/1403-txt.otvstream.otvcloud.com/otv/skcc/live/channel5/index.m3u8
CCTV5体育,http://121.51.249.73/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV5体育,http://media.hndyjyfw.gov.cn/live/jz-cctv-5/live.m3u8
CCTV5体育,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV5+体育赛事,http://1.189.99.196/h5liveolpicga.miguvideo.com/wd_r2/cctv/cctv5plusnew/2500/index.m3u8?&encrypt=
CCTV5+体育赛事,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctv5hd8m/8000000/mnf.m3u8
CCTV5+体育赛事,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctv5phd8m/8000000/mnf.m3u8
CCTV5+体育赛事,http://223.109.33.33/1403-txt.otvstream.otvcloud.com/otv/skcc/live/channel13/index.m3u8
CCTV5+体育赛事,http://media.hndyjyfw.gov.cn/live/jz-cctv-5-plus/live.m3u8
CCTV5+体育赛事,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV6电影,http://111.177.34.81/hlslive2.ks-cdn.m1905.com/live/LIVE2OR14O20ADLYU/index.m3u8": "1905线路"},
CCTV6电影,http://1.189.99.196/h5liveolpicga.miguvideo.com/wd_r2/ocn/cctv6hd/3000/index.m3u8?&encrypt=
CCTV6电影,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctv6hd8m/8000000/mnf.m3u8
CCTV6电影,http://223.109.33.33/1403-txt.otvstream.otvcloud.com/otv/skcc/live/channel6/index.m3u8
CCTV6电影,http://121.51.249.73/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225609/index.m3u8
CCTV6电影,http://media.hndyjyfw.gov.cn/live/jz-cctv-6/live.m3u8
CCTV6电影,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8
CCTV7国防军事,http://1.189.99.196/h5liveolpicga.miguvideo.com/migu/kailu/20200324/cctv7hd/57/index.m3u8?&encrypt=
CCTV7国防军事,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctv7hd8m/8000000/mnf.m3u8
CCTV7国防军事,http://223.109.33.33/1403-txt.otvstream.otvcloud.com/otv/skcc/live/channel7/index.m3u8
CCTV7国防军事,http://121.51.249.73/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226002/index.m3u8
CCTV7国防军事,http://media.hndyjyfw.gov.cn/live/jz-cctv-7/live.m3u8
CCTV7国防军事,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV8电视剧,http://1.189.99.196/h5liveolpicga.miguvideo.com/wd_r2/ocn/cctv8hd/3000/index.m3u8?&encrypt=
CCTV8电视剧,http://223.109.33.33/liveplay-kk.rtxapp.com/live/program/live/cctv8hd8m/8000000/mnf.m3u8
